item_code,item_cat_l_id,item_cat_l_name,item_cat_m_id,item_cat_m_name,item_cat_s_id,item_cat_s_name,uom,tax_rate
IM000001,CL001,マーケティング,CM001,広告出稿,CS0001,広告出稿（標準プラン）,LOT,0.1
IM000002,CL001,マーケティング,CM001,広告出稿,CS0002,広告出稿（プレミアムプラン）,MONTH,0.1
IM000003,CL001,マーケティング,CM001,広告出稿,CS0003,広告出稿（スポット対応）,MONTH,0.1
IM000004,CL001,マーケティング,CM001,広告出稿,CS0004,広告出稿（月額サブスク）,MONTH,0.1
IM000005,CL001,マーケティング,CM001,広告出稿,CS0005,広告出稿（単発作業）,MONTH,0.1
IM000006,CL001,マーケティング,CM002,デジタル広告,CS0006,デジタル広告（標準プラン）,SET,0.1
IM000007,CL001,マーケティング,CM002,デジタル広告,CS0007,デジタル広告（プレミアムプラン）,HOUR,0.1
IM000008,CL001,マーケティング,CM002,デジタル広告,CS0008,デジタル広告（スポット対応）,MONTH,0.1
IM000009,CL001,マーケティング,CM002,デジタル広告,CS0009,デジタル広告（月額サブスク）,PACK,0.1
IM000010,CL001,マーケティング,CM002,デジタル広告,CS0010,デジタル広告（単発作業）,PACK,0.1
IM000011,CL001,マーケティング,CM003,クリエイティブ制作,CS0011,クリエイティブ制作（標準プラン）,SET,0.1
IM000012,CL001,マーケティング,CM003,クリエイティブ制作,CS0012,クリエイティブ制作（プレミアムプラン）,MONTH,0.1
IM000013,CL001,マーケティング,CM003,クリエイティブ制作,CS0013,クリエイティブ制作（スポット対応）,EA,0.1
IM000014,CL001,マーケティング,CM003,クリエイティブ制作,CS0014,クリエイティブ制作（月額サブスク）,HOUR,0.1
IM000015,CL001,マーケティング,CM003,クリエイティブ制作,CS0015,クリエイティブ制作（単発作業）,PACK,0.1
IM000016,CL001,マーケティング,CM004,SNS運用,CS0016,SNS運用（標準プラン）,HOUR,0.1
IM000017,CL001,マーケティング,CM004,SNS運用,CS0017,SNS運用（プレミアムプラン）,PACK,0.1
IM000018,CL001,マーケティング,CM004,SNS運用,CS0018,SNS運用（スポット対応）,PACK,0.1
IM000019,CL001,マーケティング,CM004,SNS運用,CS0019,SNS運用（月額サブスク）,SET,0.1
IM000020,CL001,マーケティング,CM004,SNS運用,CS0020,SNS運用（単発作業）,SET,0.1
IM000021,CL001,マーケティング,CM005,PR/広報,CS0021,PR/広報（標準プラン）,EA,0.1
IM000022,CL001,マーケティング,CM005,PR/広報,CS0022,PR/広報（プレミアムプラン）,SET,0.1
IM000023,CL001,マーケティング,CM005,PR/広報,CS0023,PR/広報（スポット対応）,MONTH,0.1
IM000024,CL001,マーケティング,CM005,PR/広報,CS0024,PR/広報（月額サブスク）,PACK,0.1
IM000025,CL001,マーケティング,CM005,PR/広報,CS0025,PR/広報（単発作業）,HOUR,0.1
IM000026,CL001,マーケティング,CM006,市場調査,CS0026,市場調査（標準プラン）,LOT,0.1
IM000027,CL001,マーケティング,CM006,市場調査,CS0027,市場調査（プレミアムプラン）,EA,0.1
IM000028,CL001,マーケティング,CM006,市場調査,CS0028,市場調査（スポット対応）,EA,0.1
IM000029,CL001,マーケティング,CM006,市場調査,CS0029,市場調査（月額サブスク）,MONTH,0.1
IM000030,CL001,マーケティング,CM006,市場調査,CS0030,市場調査（単発作業）,MONTH,0.1
IM000031,CL001,マーケティング,CM007,CRM/メール,CS0031,CRM/メール（標準プラン）,LOT,0.1
IM000032,CL001,マーケティング,CM007,CRM/メール,CS0032,CRM/メール（プレミアムプラン）,LOT,0.1
IM000033,CL001,マーケティング,CM007,CRM/メール,CS0033,CRM/メール（スポット対応）,EA,0.1
IM000034,CL001,マーケティング,CM007,CRM/メール,CS0034,CRM/メール（月額サブスク）,HOUR,0.1
IM000035,CL001,マーケティング,CM007,CRM/メール,CS0035,CRM/メール（単発作業）,PACK,0.1
IM000036,CL001,マーケティング,CM008,SEO/コンテンツ,CS0036,SEO/コンテンツ（標準プラン）,MONTH,0.1
IM000037,CL001,マーケティング,CM008,SEO/コンテンツ,CS0037,SEO/コンテンツ（プレミアムプラン）,SET,0.1
IM000038,CL001,マーケティング,CM008,SEO/コンテンツ,CS0038,SEO/コンテンツ（スポット対応）,SET,0.1
IM000039,CL001,マーケティング,CM008,SEO/コンテンツ,CS0039,SEO/コンテンツ（月額サブスク）,EA,0.1
IM000040,CL001,マーケティング,CM008,SEO/コンテンツ,CS0040,SEO/コンテンツ（単発作業）,HOUR,0.1
IM000041,CL001,マーケティング,CM009,撮影/動画,CS0041,撮影/動画（標準プラン）,MONTH,0.1
IM000042,CL001,マーケティング,CM009,撮影/動画,CS0042,撮影/動画（プレミアムプラン）,MONTH,0.1
IM000043,CL001,マーケティング,CM009,撮影/動画,CS0043,撮影/動画（スポット対応）,MONTH,0.1
IM000044,CL001,マーケティング,CM009,撮影/動画,CS0044,撮影/動画（月額サブスク）,LOT,0.1
IM000045,CL001,マーケティング,CM009,撮影/動画,CS0045,撮影/動画（単発作業）,MONTH,0.1
IM000046,CL001,マーケティング,CM010,データ分析,CS0046,データ分析（標準プラン）,LOT,0.1
IM000047,CL001,マーケティング,CM010,データ分析,CS0047,データ分析（プレミアムプラン）,PACK,0.1
IM000048,CL001,マーケティング,CM010,データ分析,CS0048,データ分析（スポット対応）,EA,0.1
IM000049,CL001,マーケティング,CM010,データ分析,CS0049,データ分析（月額サブスク）,HOUR,0.1
IM000050,CL001,マーケティング,CM010,データ分析,CS0050,データ分析（単発作業）,SET,0.1
IM000051,CL002,リテールプロモ,CM011,店頭什器,CS0051,店頭什器（標準プラン）,SET,0.1
IM000052,CL002,リテールプロモ,CM011,店頭什器,CS0052,店頭什器（プレミアムプラン）,PACK,0.1
IM000053,CL002,リテールプロモ,CM011,店頭什器,CS0053,店頭什器（スポット対応）,HOUR,0.1
IM000054,CL002,リテールプロモ,CM011,店頭什器,CS0054,店頭什器（月額サブスク）,HOUR,0.1
IM000055,CL002,リテールプロモ,CM011,店頭什器,CS0055,店頭什器（単発作業）,MONTH,0.1
IM000056,CL002,リテールプロモ,CM012,POP/印刷,CS0056,POP/印刷（標準プラン）,MONTH,0.1
IM000057,CL002,リテールプロモ,CM012,POP/印刷,CS0057,POP/印刷（プレミアムプラン）,EA,0.1
IM000058,CL002,リテールプロモ,CM012,POP/印刷,CS0058,POP/印刷（スポット対応）,LOT,0.1
IM000059,CL002,リテールプロモ,CM012,POP/印刷,CS0059,POP/印刷（月額サブスク）,LOT,0.1
IM000060,CL002,リテールプロモ,CM012,POP/印刷,CS0060,POP/印刷（単発作業）,PACK,0.1
IM000061,CL002,リテールプロモ,CM013,ノベルティ,CS0061,ノベルティ（標準プラン）,SET,0.1
IM000062,CL002,リテールプロモ,CM013,ノベルティ,CS0062,ノベルティ（プレミアムプラン）,MONTH,0.1
IM000063,CL002,リテールプロモ,CM013,ノベルティ,CS0063,ノベルティ（スポット対応）,HOUR,0.1
IM000064,CL002,リテールプロモ,CM013,ノベルティ,CS0064,ノベルティ（月額サブスク）,SET,0.1
IM000065,CL002,リテールプロモ,CM013,ノベルティ,CS0065,ノベルティ（単発作業）,EA,0.1
IM000066,CL002,リテールプロモ,CM014,販促キャンペーン,CS0066,販促キャンペーン（標準プラン）,PACK,0.1
IM000067,CL002,リテールプロモ,CM014,販促キャンペーン,CS0067,販促キャンペーン（プレミアムプラン）,PACK,0.1
IM000068,CL002,リテールプロモ,CM014,販促キャンペーン,CS0068,販促キャンペーン（スポット対応）,MONTH,0.1
IM000069,CL002,リテールプロモ,CM014,販促キャンペーン,CS0069,販促キャンペーン（月額サブスク）,PACK,0.1
IM000070,CL002,リテールプロモ,CM014,販促キャンペーン,CS0070,販促キャンペーン（単発作業）,MONTH,0.1
IM000071,CL002,リテールプロモ,CM015,サンプリング,CS0071,サンプリング（標準プラン）,SET,0.1
IM000072,CL002,リテールプロモ,CM015,サンプリング,CS0072,サンプリング（プレミアムプラン）,EA,0.1
IM000073,CL002,リテールプロモ,CM015,サンプリング,CS0073,サンプリング（スポット対応）,MONTH,0.1
IM000074,CL002,リテールプロモ,CM015,サンプリング,CS0074,サンプリング（月額サブスク）,HOUR,0.1
IM000075,CL002,リテールプロモ,CM015,サンプリング,CS0075,サンプリング（単発作業）,PACK,0.1
IM000076,CL002,リテールプロモ,CM016,店舗イベント,CS0076,店舗イベント（標準プラン）,PACK,0.1
IM000077,CL002,リテールプロモ,CM016,店舗イベント,CS0077,店舗イベント（プレミアムプラン）,PACK,0.1
IM000078,CL002,リテールプロモ,CM016,店舗イベント,CS0078,店舗イベント（スポット対応）,EA,0.1
IM000079,CL002,リテールプロモ,CM016,店舗イベント,CS0079,店舗イベント（月額サブスク）,PACK,0.1
IM000080,CL002,リテールプロモ,CM016,店舗イベント,CS0080,店舗イベント（単発作業）,HOUR,0.1
IM000081,CL002,リテールプロモ,CM017,ディスプレイ施工,CS0081,ディスプレイ施工（標準プラン）,EA,0.1
IM000082,CL002,リテールプロモ,CM017,ディスプレイ施工,CS0082,ディスプレイ施工（プレミアムプラン）,SET,0.1
IM000083,CL002,リテールプロモ,CM017,ディスプレイ施工,CS0083,ディスプレイ施工（スポット対応）,SET,0.1
IM000084,CL002,リテールプロモ,CM017,ディスプレイ施工,CS0084,ディスプレイ施工（月額サブスク）,HOUR,0.1
IM000085,CL002,リテールプロモ,CM017,ディスプレイ施工,CS0085,ディスプレイ施工（単発作業）,MONTH,0.1
IM000086,CL002,リテールプロモ,CM018,リテールメディア,CS0086,リテールメディア（標準プラン）,MONTH,0.1
IM000087,CL002,リテールプロモ,CM018,リテールメディア,CS0087,リテールメディア（プレミアムプラン）,HOUR,0.1
IM000088,CL002,リテールプロモ,CM018,リテールメディア,CS0088,リテールメディア（スポット対応）,LOT,0.1
IM000089,CL002,リテールプロモ,CM018,リテールメディア,CS0089,リテールメディア（月額サブスク）,PACK,0.1
IM000090,CL002,リテールプロモ,CM018,リテールメディア,CS0090,リテールメディア（単発作業）,PACK,0.1
IM000091,CL002,リテールプロモ,CM019,売場データ,CS0091,売場データ（標準プラン）,LOT,0.1
IM000092,CL002,リテールプロモ,CM019,売場データ,CS0092,売場データ（プレミアムプラン）,SET,0.1
IM000093,CL002,リテールプロモ,CM019,売場データ,CS0093,売場データ（スポット対応）,HOUR,0.1
IM000094,CL002,リテールプロモ,CM019,売場データ,CS0094,売場データ（月額サブスク）,PACK,0.1
IM000095,CL002,リテールプロモ,CM019,売場データ,CS0095,売場データ（単発作業）,SET,0.1
IM000096,CL002,リテールプロモ,CM020,販促物流,CS0096,販促物流（標準プラン）,EA,0.1
IM000097,CL002,リテールプロモ,CM020,販促物流,CS0097,販促物流（プレミアムプラン）,SET,0.1
IM000098,CL002,リテールプロモ,CM020,販促物流,CS0098,販促物流（スポット対応）,MONTH,0.1
IM000099,CL002,リテールプロモ,CM020,販促物流,CS0099,販促物流（月額サブスク）,PACK,0.1
IM000100,CL002,リテールプロモ,CM020,販促物流,CS0100,販促物流（単発作業）,HOUR,0.1
IM000101,CL003,ビジネスサービス,CM021,BPO/事務委託,CS0101,BPO/事務委託（標準プラン）,EA,0.1
IM000102,CL003,ビジネスサービス,CM021,BPO/事務委託,CS0102,BPO/事務委託（プレミアムプラン）,LOT,0.1
IM000103,CL003,ビジネスサービス,CM021,BPO/事務委託,CS0103,BPO/事務委託（スポット対応）,MONTH,0.1
IM000104,CL003,ビジネスサービス,CM021,BPO/事務委託,CS0104,BPO/事務委託（月額サブスク）,MONTH,0.1
IM000105,CL003,ビジネスサービス,CM021,BPO/事務委託,CS0105,BPO/事務委託（単発作業）,EA,0.1
IM000106,CL003,ビジネスサービス,CM022,人材派遣,CS0106,人材派遣（標準プラン）,MONTH,0.1
IM000107,CL003,ビジネスサービス,CM022,人材派遣,CS0107,人材派遣（プレミアムプラン）,EA,0.1
IM000108,CL003,ビジネスサービス,CM022,人材派遣,CS0108,人材派遣（スポット対応）,SET,0.1
IM000109,CL003,ビジネスサービス,CM022,人材派遣,CS0109,人材派遣（月額サブスク）,HOUR,0.1
IM000110,CL003,ビジネスサービス,CM022,人材派遣,CS0110,人材派遣（単発作業）,EA,0.1
IM000111,CL003,ビジネスサービス,CM023,研修/教育,CS0111,研修/教育（標準プラン）,HOUR,0.1
IM000112,CL003,ビジネスサービス,CM023,研修/教育,CS0112,研修/教育（プレミアムプラン）,HOUR,0.1
IM000113,CL003,ビジネスサービス,CM023,研修/教育,CS0113,研修/教育（スポット対応）,LOT,0.1
IM000114,CL003,ビジネスサービス,CM023,研修/教育,CS0114,研修/教育（月額サブスク）,EA,0.1
IM000115,CL003,ビジネスサービス,CM023,研修/教育,CS0115,研修/教育（単発作業）,PACK,0.1
IM000116,CL003,ビジネスサービス,CM024,法務/士業,CS0116,法務/士業（標準プラン）,HOUR,0.1
IM000117,CL003,ビジネスサービス,CM024,法務/士業,CS0117,法務/士業（プレミアムプラン）,LOT,0.1
IM000118,CL003,ビジネスサービス,CM024,法務/士業,CS0118,法務/士業（スポット対応）,SET,0.1
IM000119,CL003,ビジネスサービス,CM024,法務/士業,CS0119,法務/士業（月額サブスク）,EA,0.1
IM000120,CL003,ビジネスサービス,CM024,法務/士業,CS0120,法務/士業（単発作業）,EA,0.1
IM000121,CL003,ビジネスサービス,CM025,会計/経理,CS0121,会計/経理（標準プラン）,SET,0.1
IM000122,CL003,ビジネスサービス,CM025,会計/経理,CS0122,会計/経理（プレミアムプラン）,SET,0.1
IM000123,CL003,ビジネスサービス,CM025,会計/経理,CS0123,会計/経理（スポット対応）,PACK,0.1
IM000124,CL003,ビジネスサービス,CM025,会計/経理,CS0124,会計/経理（月額サブスク）,MONTH,0.1
IM000125,CL003,ビジネスサービス,CM025,会計/経理,CS0125,会計/経理（単発作業）,EA,0.1
IM000126,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0126,翻訳/通訳（標準プラン）,HOUR,0.1
IM000127,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0127,翻訳/通訳（プレミアムプラン）,MONTH,0.1
IM000128,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0128,翻訳/通訳（スポット対応）,EA,0.1
IM000129,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0129,翻訳/通訳（月額サブスク）,HOUR,0.1
IM000130,CL003,ビジネスサービス,CM026,翻訳/通訳,CS0130,翻訳/通訳（単発作業）,PACK,0.1
IM000131,CL003,ビジネスサービス,CM027,コンサル,CS0131,コンサル（標準プラン）,LOT,0.1
IM000132,CL003,ビジネスサービス,CM027,コンサル,CS0132,コンサル（プレミアムプラン）,EA,0.1
IM000133,CL003,ビジネスサービス,CM027,コンサル,CS0133,コンサル（スポット対応）,HOUR,0.1
IM000134,CL003,ビジネスサービス,CM027,コンサル,CS0134,コンサル（月額サブスク）,EA,0.1
IM000135,CL003,ビジネスサービス,CM027,コンサル,CS0135,コンサル（単発作業）,HOUR,0.1
IM000136,CL003,ビジネスサービス,CM028,清掃/警備,CS0136,清掃/警備（標準プラン）,PACK,0.1
IM000137,CL003,ビジネスサービス,CM028,清掃/警備,CS0137,清掃/警備（プレミアムプラン）,LOT,0.1
IM000138,CL003,ビジネスサービス,CM028,清掃/警備,CS0138,清掃/警備（スポット対応）,SET,0.1
IM000139,CL003,ビジネスサービス,CM028,清掃/警備,CS0139,清掃/警備（月額サブスク）,PACK,0.1
IM000140,CL003,ビジネスサービス,CM028,清掃/警備,CS0140,清掃/警備（単発作業）,HOUR,0.1
IM000141,CL003,ビジネスサービス,CM029,設備保全,CS0141,設備保全（標準プラン）,EA,0.1
IM000142,CL003,ビジネスサービス,CM029,設備保全,CS0142,設備保全（プレミアムプラン）,SET,0.1
IM000143,CL003,ビジネスサービス,CM029,設備保全,CS0143,設備保全（スポット対応）,PACK,0.1
IM000144,CL003,ビジネスサービス,CM029,設備保全,CS0144,設備保全（月額サブスク）,HOUR,0.1
IM000145,CL003,ビジネスサービス,CM029,設備保全,CS0145,設備保全（単発作業）,LOT,0.1
IM000146,CL003,ビジネスサービス,CM030,総務支援,CS0146,総務支援（標準プラン）,EA,0.1
IM000147,CL003,ビジネスサービス,CM030,総務支援,CS0147,総務支援（プレミアムプラン）,SET,0.1
IM000148,CL003,ビジネスサービス,CM030,総務支援,CS0148,総務支援（スポット対応）,LOT,0.1
IM000149,CL003,ビジネスサービス,CM030,総務支援,CS0149,総務支援（月額サブスク）,LOT,0.1
IM000150,CL003,ビジネスサービス,CM030,総務支援,CS0150,総務支援（単発作業）,SET,0.1
IM000151,CL004,SCM,CM031,国内輸送,CS0151,国内輸送（標準プラン）,HOUR,0.1
IM000152,CL004,SCM,CM031,国内輸送,CS0152,国内輸送（プレミアムプラン）,PACK,0.1
IM000153,CL004,SCM,CM031,国内輸送,CS0153,国内輸送（スポット対応）,MONTH,0.1
IM000154,CL004,SCM,CM031,国内輸送,CS0154,国内輸送（月額サブスク）,LOT,0.1
IM000155,CL004,SCM,CM031,国内輸送,CS0155,国内輸送（単発作業）,PACK,0.1
IM000156,CL004,SCM,CM032,国際輸送,CS0156,国際輸送（標準プラン）,PACK,0.1
IM000157,CL004,SCM,CM032,国際輸送,CS0157,国際輸送（プレミアムプラン）,LOT,0.1
IM000158,CL004,SCM,CM032,国際輸送,CS0158,国際輸送（スポット対応）,SET,0.1
IM000159,CL004,SCM,CM032,国際輸送,CS0159,国際輸送（月額サブスク）,EA,0.1
IM000160,CL004,SCM,CM032,国際輸送,CS0160,国際輸送（単発作業）,LOT,0.1
IM000161,CL004,SCM,CM033,倉庫/3PL,CS0161,倉庫/3PL（標準プラン）,PACK,0.1
IM000162,CL004,SCM,CM033,倉庫/3PL,CS0162,倉庫/3PL（プレミアムプラン）,HOUR,0.1
IM000163,CL004,SCM,CM033,倉庫/3PL,CS0163,倉庫/3PL（スポット対応）,HOUR,0.1
IM000164,CL004,SCM,CM033,倉庫/3PL,CS0164,倉庫/3PL（月額サブスク）,LOT,0.1
IM000165,CL004,SCM,CM033,倉庫/3PL,CS0165,倉庫/3PL（単発作業）,EA,0.1
IM000166,CL004,SCM,CM034,梱包資材,CS0166,梱包資材（標準プラン）,EA,0.1
IM000167,CL004,SCM,CM034,梱包資材,CS0167,梱包資材（プレミアムプラン）,HOUR,0.1
IM000168,CL004,SCM,CM034,梱包資材,CS0168,梱包資材（スポット対応）,EA,0.1
IM000169,CL004,SCM,CM034,梱包資材,CS0169,梱包資材（月額サブスク）,LOT,0.1
IM000170,CL004,SCM,CM034,梱包資材,CS0170,梱包資材（単発作業）,PACK,0.1
IM000171,CL004,SCM,CM035,ラベル/シール,CS0171,ラベル/シール（標準プラン）,PACK,0.1
IM000172,CL004,SCM,CM035,ラベル/シール,CS0172,ラベル/シール（プレミアムプラン）,HOUR,0.1
IM000173,CL004,SCM,CM035,ラベル/シール,CS0173,ラベル/シール（スポット対応）,MONTH,0.1
IM000174,CL004,SCM,CM035,ラベル/シール,CS0174,ラベル/シール（月額サブスク）,MONTH,0.1
IM000175,CL004,SCM,CM035,ラベル/シール,CS0175,ラベル/シール（単発作業）,MONTH,0.1
IM000176,CL004,SCM,CM036,通関,CS0176,通関（標準プラン）,HOUR,0.1
IM000177,CL004,SCM,CM036,通関,CS0177,通関（プレミアムプラン）,PACK,0.1
IM000178,CL004,SCM,CM036,通関,CS0178,通関（スポット対応）,EA,0.1
IM000179,CL004,SCM,CM036,通関,CS0179,通関（月額サブスク）,SET,0.1
IM000180,CL004,SCM,CM036,通関,CS0180,通関（単発作業）,EA,0.1
IM000181,CL004,SCM,CM037,需給計画,CS0181,需給計画（標準プラン）,LOT,0.1
IM000182,CL004,SCM,CM037,需給計画,CS0182,需給計画（プレミアムプラン）,SET,0.1
IM000183,CL004,SCM,CM037,需給計画,CS0183,需給計画（スポット対応）,MONTH,0.1
IM000184,CL004,SCM,CM037,需給計画,CS0184,需給計画（月額サブスク）,LOT,0.1
IM000185,CL004,SCM,CM037,需給計画,CS0185,需給計画（単発作業）,SET,0.1
IM000186,CL004,SCM,CM038,在庫管理,CS0186,在庫管理（標準プラン）,HOUR,0.1
IM000187,CL004,SCM,CM038,在庫管理,CS0187,在庫管理（プレミアムプラン）,MONTH,0.1
IM000188,CL004,SCM,CM038,在庫管理,CS0188,在庫管理（スポット対応）,LOT,0.1
IM000189,CL004,SCM,CM038,在庫管理,CS0189,在庫管理（月額サブスク）,MONTH,0.1
IM000190,CL004,SCM,CM038,在庫管理,CS0190,在庫管理（単発作業）,HOUR,0.1
IM000191,CL004,SCM,CM039,配送最適化,CS0191,配送最適化（標準プラン）,EA,0.1
IM000192,CL004,SCM,CM039,配送最適化,CS0192,配送最適化（プレミアムプラン）,MONTH,0.1
IM000193,CL004,SCM,CM039,配送最適化,CS0193,配送最適化（スポット対応）,HOUR,0.1
IM000194,CL004,SCM,CM039,配送最適化,CS0194,配送最適化（月額サブスク）,EA,0.1
IM000195,CL004,SCM,CM039,配送最適化,CS0195,配送最適化（単発作業）,SET,0.1
IM000196,CL004,SCM,CM040,返品/リバース,CS0196,返品/リバース（標準プラン）,LOT,0.1
IM000197,CL004,SCM,CM040,返品/リバース,CS0197,返品/リバース（プレミアムプラン）,EA,0.1
IM000198,CL004,SCM,CM040,返品/リバース,CS0198,返品/リバース（スポット対応）,SET,0.1
IM000199,CL004,SCM,CM040,返品/リバース,CS0199,返品/リバース（月額サブスク）,LOT,0.1
IM000200,CL004,SCM,CM040,返品/リバース,CS0200,返品/リバース（単発作業）,EA,0.1
IM000201,CL005,IT,CM041,PC/周辺機器,CS0201,PC/周辺機器（標準プラン）,PACK,0.1
IM000202,CL005,IT,CM041,PC/周辺機器,CS0202,PC/周辺機器（プレミアムプラン）,LOT,0.1
IM000203,CL005,IT,CM041,PC/周辺機器,CS0203,PC/周辺機器（スポット対応）,SET,0.1
IM000204,CL005,IT,CM041,PC/周辺機器,CS0204,PC/周辺機器（月額サブスク）,LOT,0.1
IM000205,CL005,IT,CM041,PC/周辺機器,CS0205,PC/周辺機器（単発作業）,HOUR,0.1
IM000206,CL005,IT,CM042,ソフトウェア,CS0206,ソフトウェア（標準プラン）,LOT,0.1
IM000207,CL005,IT,CM042,ソフトウェア,CS0207,ソフトウェア（プレミアムプラン）,LOT,0.1
IM000208,CL005,IT,CM042,ソフトウェア,CS0208,ソフトウェア（スポット対応）,LOT,0.1
IM000209,CL005,IT,CM042,ソフトウェア,CS0209,ソフトウェア（月額サブスク）,MONTH,0.1
IM000210,CL005,IT,CM042,ソフトウェア,CS0210,ソフトウェア（単発作業）,PACK,0.1
IM000211,CL005,IT,CM043,クラウド,CS0211,クラウド（標準プラン）,SET,0.1
IM000212,CL005,IT,CM043,クラウド,CS0212,クラウド（プレミアムプラン）,MONTH,0.1
IM000213,CL005,IT,CM043,クラウド,CS0213,クラウド（スポット対応）,EA,0.1
IM000214,CL005,IT,CM043,クラウド,CS0214,クラウド（月額サブスク）,PACK,0.1
IM000215,CL005,IT,CM043,クラウド,CS0215,クラウド（単発作業）,EA,0.1
IM000216,CL005,IT,CM044,ネットワーク,CS0216,ネットワーク（標準プラン）,MONTH,0.1
IM000217,CL005,IT,CM044,ネットワーク,CS0217,ネットワーク（プレミアムプラン）,PACK,0.1
IM000218,CL005,IT,CM044,ネットワーク,CS0218,ネットワーク（スポット対応）,MONTH,0.1
IM000219,CL005,IT,CM044,ネットワーク,CS0219,ネットワーク（月額サブスク）,MONTH,0.1
IM000220,CL005,IT,CM044,ネットワーク,CS0220,ネットワーク（単発作業）,PACK,0.1
IM000221,CL005,IT,CM045,セキュリティ,CS0221,セキュリティ（標準プラン）,PACK,0.1
IM000222,CL005,IT,CM045,セキュリティ,CS0222,セキュリティ（プレミアムプラン）,EA,0.1
IM000223,CL005,IT,CM045,セキュリティ,CS0223,セキュリティ（スポット対応）,EA,0.1
IM000224,CL005,IT,CM045,セキュリティ,CS0224,セキュリティ（月額サブスク）,EA,0.1
IM000225,CL005,IT,CM045,セキュリティ,CS0225,セキュリティ（単発作業）,LOT,0.1
IM000226,CL005,IT,CM046,SaaS(業務),CS0226,SaaS(業務)（標準プラン）,HOUR,0.1
IM000227,CL005,IT,CM046,SaaS(業務),CS0227,SaaS(業務)（プレミアムプラン）,PACK,0.1
IM000228,CL005,IT,CM046,SaaS(業務),CS0228,SaaS(業務)（スポット対応）,HOUR,0.1
IM000229,CL005,IT,CM046,SaaS(業務),CS0229,SaaS(業務)（月額サブスク）,HOUR,0.1
IM000230,CL005,IT,CM046,SaaS(業務),CS0230,SaaS(業務)（単発作業）,LOT,0.1
IM000231,CL005,IT,CM047,開発外注,CS0231,開発外注（標準プラン）,PACK,0.1
IM000232,CL005,IT,CM047,開発外注,CS0232,開発外注（プレミアムプラン）,PACK,0.1
IM000233,CL005,IT,CM047,開発外注,CS0233,開発外注（スポット対応）,PACK,0.1
IM000234,CL005,IT,CM047,開発外注,CS0234,開発外注（月額サブスク）,SET,0.1
IM000235,CL005,IT,CM047,開発外注,CS0235,開発外注（単発作業）,PACK,0.1
IM000236,CL005,IT,CM048,IT運用,CS0236,IT運用（標準プラン）,MONTH,0.1
IM000237,CL005,IT,CM048,IT運用,CS0237,IT運用（プレミアムプラン）,SET,0.1
IM000238,CL005,IT,CM048,IT運用,CS0238,IT運用（スポット対応）,MONTH,0.1
IM000239,CL005,IT,CM048,IT運用,CS0239,IT運用（月額サブスク）,MONTH,0.1
IM000240,CL005,IT,CM048,IT運用,CS0240,IT運用（単発作業）,SET,0.1
IM000241,CL005,IT,CM049,データ基盤,CS0241,データ基盤（標準プラン）,EA,0.1
IM000242,CL005,IT,CM049,データ基盤,CS0242,データ基盤（プレミアムプラン）,EA,0.1
IM000243,CL005,IT,CM049,データ基盤,CS0243,データ基盤（スポット対応）,HOUR,0.1
IM000244,CL005,IT,CM049,データ基盤,CS0244,データ基盤（月額サブスク）,MONTH,0.1
IM000245,CL005,IT,CM049,データ基盤,CS0245,データ基盤（単発作業）,LOT,0.1
IM000246,CL005,IT,CM050,ヘルプデスク,CS0246,ヘルプデスク（標準プラン）,MONTH,0.1
IM000247,CL005,IT,CM050,ヘルプデスク,CS0247,ヘルプデスク（プレミアムプラン）,MONTH,0.1
IM000248,CL005,IT,CM050,ヘルプデスク,CS0248,ヘルプデスク（スポット対応）,EA,0.1
IM000249,CL005,IT,CM050,ヘルプデスク,CS0249,ヘルプデスク（月額サブスク）,LOT,0.1
IM000250,CL005,IT,CM050,ヘルプデスク,CS0250,ヘルプデスク（単発作業）,HOUR,0.1
